,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text,Question,Answer,Test Imports,Assert Statement List,Tag
1547,Count Odd Numbers in an Interval Range,count-odd-numbers-in-an-interval-range,Given two non-negative integers low and high. Return the count of odd numbers between low and high (inclusive). ,Math,Easy,48.1,146529.0,70473.0,616.0,48.0,"If the range (high - low + 1) is even, the number of even and odd numbers in this range will be the same. If the range (high - low + 1) is odd, the solution will depend on the parity of high and low.",,,,,,,
1548,Number of Sub-arrays With Odd Sum,number-of-sub-arrays-with-odd-sum,"Given an array of integers arr, return the number of subarrays with an odd sum. Since the answer can be very large, return it modulo 109 + 7. ","Array,Math,Dynamic Programming,Prefix Sum",Medium,43.5,52460.0,22824.0,754.0,31.0,"Can we use the accumulative sum to keep track of all the odd-sum sub-arrays ? if the current accu sum is odd, we care only about previous even accu sums and vice versa.",2242,Subsequence of Size K With the Largest Even Sum,,,,,
1549,Number of Good Ways to Split a String,number-of-good-ways-to-split-a-string,"You are given a string s. A split is called good if you can split s into two non-empty strings sleft and sright where their concatenation is equal to s (i.e., sleft + sright = s) and the number of distinct letters in sleft and sright is the same. Return the number of good splits you can make in s. ","String,Dynamic Programming,Bit Manipulation",Medium,70.2,98161.0,68912.0,1315.0,30.0,Use two HashMap to store the counts of distinct letters in the left and right substring divided by the current index.,,,,,,,
1550,Minimum Number of Increments on Subarrays to Form a Target Array,minimum-number-of-increments-on-subarrays-to-form-a-target-array,You are given an integer array target. You have an integer array initial of the same size as target with all elements initially zeros. In one operation you can choose any subarray from initial and increment each value by one. Return the minimum number of operations to form a target array from initial. The test cases are generated so that the answer fits in a 32-bit integer. ,"Array,Dynamic Programming,Stack,Greedy,Monotonic Stack",Hard,68.0,35423.0,24071.0,849.0,52.0,"For a given range of values in target, an optimal strategy is to increment the entire range by the minimum value. The minimum in a range could be obtained with Range minimum query or Segment trees algorithm.",,,,,,,
1551,Clone N-ary Tree,clone-n-ary-tree,,"Hash Table,Tree,Depth-First Search,Breadth-First Search",Medium,83.8,24889.0,20847.0,309.0,13.0,"Traverse the tree, keep a hashtable with you and create a clone node for each node in the tree. Start traversing the original tree again and connect each child pointer in the cloned tree the same way as the original tree with the help of the hashtable.","133,138,1624","Clone Graph,Copy List with Random Pointer,Clone Binary Tree With Random Pointer",,,,,
1552,Number of Good Pairs,number-of-good-pairs,"Given an array of integers nums, return the number of good pairs. A pair (i, j) is called good if nums[i] == nums[j] and i < j. ","Array,Hash Table,Math,Counting",Easy,87.9,325449.0,286227.0,2366.0,141.0,"Count how many times each number appears. If a number appears n times, then n * (n – 1) // 2 good pairs can be made with this number.","2129,2225","Number of Pairs of Interchangeable Rectangles,Substrings That Begin and End With the Same Letter",,,,,
1553,Number of Substrings With Only 1s,number-of-substrings-with-only-1s,"Given a binary string s, return the number of substrings with all characters 1's. Since the answer may be too large, return it modulo 109 + 7. ","Math,String",Medium,44.2,65615.0,28986.0,508.0,22.0,"Count number of 1s in each consecutive-1 group. For a group with n consecutive 1s, the total contribution of it to the final answer is (n + 1) * n // 2.","1885,2186","Count Number of Homogenous Substrings,Count Vowel Substrings of a String",,,,,
1554,String Compression II,string-compression-ii,"Run-length encoding is a string compression method that works by replacing consecutive identical characters (repeated 2 or more times) with the concatenation of the character and the number marking the count of the characters (length of the run). For example, to compress the string ""aabccc"" we replace ""aa"" by ""a2"" and replace ""ccc"" by ""c3"". Thus the compressed string becomes ""a2bc3"". Notice that in this problem, we are not adding '1' after single characters. Given a string s and an integer k. You need to delete at most k characters from s such that the run-length encoded version of s has minimum length. Find the minimum length of the run-length encoded version of s after deleting at most k characters. ","String,Dynamic Programming",Hard,38.0,29095.0,11048.0,459.0,48.0,"Use dynamic programming. The state of the DP can be the current index and the remaining characters to delete. Having a prefix sum for each character can help you determine for a certain character c in some specific range, how many characters you need to delete to merge all occurrences of c in that range.",,,,,,,
1555,Best Position for a Service Centre,best-position-for-a-service-centre,"A delivery company wants to build a new service center in a new city. The company knows the positions of all the customers in this city on a 2D-Map and wants to build the new center in a position such that the sum of the euclidean distances to all customers is minimum. Given an array positions where positions[i] = [xi, yi] is the position of the ith customer on the map, return the minimum sum of the euclidean distances to all customers. In other words, you need to choose the position of the service center [xcentre, ycentre] such that the following formula is minimized: Answers within 10-5 of the actual value will be accepted. ","Math,Geometry,Randomized",Hard,38.7,23873.0,9243.0,161.0,197.0,"The problem can be reworded as, giving a set of points on a 2d-plane, return the geometric median. Loop over each triplet of points (positions[i], positions[j], positions[k]) where i < j < k, get the centre of the circle which goes throw the 3 points, check if all other points lie in this circle.",,,,,,,
1556,Friendly Movies Streamed Last Month,friendly-movies-streamed-last-month,,Database,Easy,50.3,36345.0,18287.0,53.0,8.0,,,,,,,,
1557,Design a File Sharing System,design-a-file-sharing-system,,"Hash Table,Design,Heap (Priority Queue),Data Stream",Medium,44.8,6364.0,2853.0,38.0,91.0,"Try to solve it by keeping for each file chunk, the users who have this chunk. Try to solve it by keeping all the users in the system with their owned chunks, and when you request a chunk, check all users for it.",355,Design Twitter,,,,,
1558,Countries You Can Safely Invest In,countries-you-can-safely-invest-in,,Database,Medium,57.8,27916.0,16135.0,159.0,19.0,,615,Average Salary: Departments VS Company,,,,,
1559,Water Bottles,water-bottles,"There are numBottles water bottles that are initially full of water. You can exchange numExchange empty water bottles from the market with one full water bottle. The operation of drinking a full water bottle turns it into an empty bottle. Given the two integers numBottles and numExchange, return the maximum number of water bottles you can drink. ","Math,Simulation",Easy,60.4,80287.0,48484.0,667.0,54.0,Simulate the process until there are not enough empty bottles for even one full bottle of water.,,,,,,,
1560,Number of Nodes in the Sub-Tree With the Same Label,number-of-nodes-in-the-sub-tree-with-the-same-label,"You are given a tree (i.e. a connected, undirected graph that has no cycles) consisting of n nodes numbered from 0 to n - 1 and exactly n - 1 edges. The root of the tree is the node 0, and each node of the tree has a label which is a lower-case character given in the string labels (i.e. The node with the number i has the label labels[i]). The edges array is given on the form edges[i] = [ai, bi], which means there is an edge between nodes ai and bi in the tree. Return an array of size n where ans[i] is the number of nodes in the subtree of the ith node which have the same label as node i. A subtree of a tree T is the tree consisting of a node in T and all of its descendant nodes. ","Hash Table,Tree,Depth-First Search,Breadth-First Search,Counting",Medium,39.8,41122.0,16365.0,379.0,357.0,Start traversing the tree and each node should return a vector to its parent node. The vector should be of length 26 and have the count of all the labels in the sub-tree of this node.,,,,,,,
1561,Maximum Number of Non-Overlapping Substrings,maximum-number-of-non-overlapping-substrings,"Given a string s of lowercase letters, you need to find the maximum number of non-empty substrings of s that meet the following conditions: Find the maximum number of substrings that meet the above conditions. If there are multiple solutions with the same number of substrings, return the one with minimum total length. It can be shown that there exists a unique solution of minimum total length. Notice that you can return the substrings in any order. ","String,Greedy",Hard,37.5,28535.0,10695.0,464.0,56.0,"Notice that it's impossible for any two valid substrings to overlap unless one is inside another. We can start by finding the starting and ending index for each character. From these indices, we can form the substrings by expanding each character's range if necessary (if another character exists in the range with smaller/larger starting/ending index). Sort the valid substrings by length and greedily take those with the smallest length, discarding the ones that overlap those we took.",,,,,,,
